Naam	Brouwerij	Plaats
Pater 6	Brouwerij St. Bernardus	Watou
Pauwel Kwak	Brouwerij Bosteels	Buggenhout
Pertotale Faro	Brouwerij Boon	Lembeek
Petite Orval	Brasserie d'Orval	Villers-devant-Orval
Petrus Aged Pale	Brouwerij Bavik - De Brabandere	Bavikhove
Petrus Blond Ale	Brouwerij Bavik - De Brabandere	Bavikhove
Petrus Dubbel Bruin Ale	Brouwerij Bavik - De Brabandere	Bavikhove
Petrus Gouden Tripel Ale	Brouwerij Bavik - De Brabandere	Bavikhove
Petrus Oud Bruin	Brouwerij Bavik - De Brabandere	Bavikhove
Petrus Speciale	Brouwerij Bavik - De Brabandere	Bavikhove
Piraat 10.5%	Brouwerij Van Steenberge	Ertvelde
Podge Belgian Imperial Stout	Alvinne Picobrouwerij	Ingelmunster
Poorter	Brouwerij Sterkens	Hoogstraten-Meer
Poperings Hommel Ale	Brouwerij Van Eecke	Watou
Première (Red)	Brasserie de l'Abbaye de Scourmont (Trappistes)	Chimay-Forges
Prior 8	Brouwerij St. Bernardus	Watou
Rader Ambrée	Brennerei-Distillerie Radermacher	Raeren
Rader Blonde	Brennerei-Distillerie Radermacher	Raeren
Reinaert Flemish Wild Ale	De Proef Brouwerij	Lochristi-Hijfte
Reserve Speciale / Spéciale Noël	Brasserie La Binchoise	Binche
Rochefort 10	Abbaye Notre Dame du St Remy	Rochefort
Rochefort 6	Abbaye Notre Dame du St Remy	Rochefort
Rochefort 8	Abbaye Notre Dame du St Remy	Rochefort
Rodenbach	Brouwerij Rodenbach	Roeselare
Rosé de Gambrinus	Brasserie-Brouwerij Cantillon	Anderlecht
Saison	Brasserie de Silly	Silly
Saison 1900	Brasserie Lefebvre	Quenast
Saison Imperiale	De Proef Brouwerij	Lochristi-Hijfte
Saison Vielle Provision	Brasserie Dupont	Tourpes
Saison Voisin	Brasserie des Gants	Irchonwelz
Sara Buckwheat Ale	Brasserie De Silenrieux	Cerfontaine-Silenrieux
Satan Gold	Brouwerij De Block	Merchtem-Peizegem
Satan Red	Brouwerij De Block	Merchtem-Peizegem
Saxo	Brasserie La Caracole	Falmignoul
Scaldis / Bush Amber 12%	Brasserie Dubuisson	Pipaix
Scaldis Noël / Bush Noël	Brasserie Dubuisson	Pipaix
Scaldis Prestige	Brasserie Dubuisson	Pipaix
Scotch	Brasserie de Silly	Silly
Serafijn Christmas Angel	Microbrouwerij Achilles	Itegem
Slaapmutske Triple Nightcap	De Proef Brouwerij	Lochristi-Hijfte
Spéciale Noël	Brasserie De L'Abbaye Des Rocs	Montignies-sur-Roc
Special Extra Export Stout	Brouwerij De Dolle Brouwers	Esen
Speciale Noël	Brasserie Fantme	Soy
St. Bernardus Tripel	Brouwerij St. Bernardus	Watou
St. Bernardus Witbier	Brouwerij St. Bernardus	Watou
